day_of_year,Sitka_mean,Sitka_std,Ketchikan_mean,Ketchikan_std,Haida_Gwaii_mean,Haida_Gwaii_std,Bella_Bella_mean,Bella_Bella_std,Howe_Sound_mean,Howe_Sound_std,SJI_mean,SJI_std,Westport_mean,Westport_std,Newport_mean,Newport_std,Crescent_City_mean,Crescent_City_std,Fort_Bragg_mean,Fort_Bragg_std,Monterey_mean,Monterey_std
193,12.4569,0.8132,13.8515,1.0069,12.9227,0.8575,13.5775,0.7920,17.6550,0.8001,13.2371,0.5631,13.7509,1.2315,12.8901,1.5206,11.4521,0.8292,11.9339,0.8730,13.6817,0.7843
194,12.5271,0.8154,13.9194,1.0102,12.9928,0.8614,13.6368,0.7937,17.7304,0.7999,13.2798,0.5602,13.7618,1.2427,12.8858,1.5336,11.4804,0.8281,11.9639,0.8805,13.7174,0.7840
195,12.5974,0.8175,13.9873,1.0136,13.0630,0.8653,13.6962,0.7953,17.8059,0.7997,13.3225,0.5573,13.7726,1.2539,12.8815,1.5467,11.5087,0.8270,11.9940,0.8880,13.7530,0.7837
196,12.6676,0.8196,14.0552,1.0169,13.1332,0.8692,13.7556,0.7970,17.8813,0.7995,13.3651,0.5544,13.7834,1.2651,12.8772,1.5597,11.5369,0.8258,12.0240,0.8955,13.7887,0.7834
197,12.6909,0.8216,14.0700,1.0128,13.1699,0.8743,13.7731,0.7978,17.8833,0.8062,13.3761,0.5569,13.7905,1.2606,12.8751,1.5373,11.5622,0.8257,12.0524,0.8997,13.8166,0.7927
198,12.7142,0.8236,14.0848,1.0087,13.2066,0.8795,13.7906,0.7986,17.8853,0.8128,13.3872,0.5593,13.7975,1.2562,12.8730,1.5149,11.5875,0.8256,12.0808,0.9038,13.8444,0.8019
199,12.7374,0.8256,14.0996,1.0046,13.2434,0.8846,13.8081,0.7994,17.8872,0.8195,13.3982,0.5617,13.8045,1.2517,12.8709,1.4925,11.6127,0.8254,12.1092,0.9079,13.8723,0.8111
200,12.7607,0.8276,14.1144,1.0005,13.2801,0.8897,13.8256,0.8002,17.8892,0.8261,13.4092,0.5642,13.8116,1.2472,12.8688,1.4701,11.6380,0.8253,12.1376,0.9121,13.9002,0.8204
201,12.7839,0.8295,14.1291,0.9964,13.3169,0.8949,13.8431,0.8010,17.8911,0.8328,13.4202,0.5666,13.8186,1.2427,12.8667,1.4477,11.6632,0.8251,12.1660,0.9162,13.9280,0.8296
202,12.8072,0.8315,14.1439,0.9923,13.3536,0.9000,13.8606,0.8019,17.8931,0.8394,13.4312,0.5690,13.8256,1.2382,12.8646,1.4253,11.6885,0.8250,12.1944,0.9204,13.9559,0.8389
203,12.8304,0.8335,14.1587,0.9882,13.3904,0.9051,13.8781,0.8027,17.8951,0.8461,13.4422,0.5715,13.8327,1.2337,12.8625,1.4029,11.7137,0.8249,12.2228,0.9245,13.9838,0.8481
204,12.8537,0.8355,14.1735,0.9840,13.4271,0.9103,13.8956,0.8035,17.8970,0.8527,13.4533,0.5739,13.8397,1.2292,12.8604,1.3805,11.7390,0.8247,12.2512,0.9287,14.0116,0.8574
205,12.8769,0.8375,14.1883,0.9799,13.4638,0.9154,13.9131,0.8043,17.8990,0.8594,13.4643,0.5764,13.8467,1.2247,12.8583,1.3581,11.7642,0.8246,12.2796,0.9328,14.0395,0.8666
206,12.9002,0.8394,14.2031,0.9758,13.5006,0.9206,13.9307,0.8051,17.9009,0.8660,13.4753,0.5788,13.8538,1.2202,12.8562,1.3357,11.7895,0.8244,12.3080,0.9369,14.0674,0.8758
207,12.9235,0.8414,14.2179,0.9717,13.5373,0.9257,13.9482,0.8059,17.9029,0.8727,13.4863,0.5812,13.8608,1.2157,12.8541,1.3133,11.8148,0.8243,12.3364,0.9411,14.0952,0.8851
208,12.9467,0.8434,14.2327,0.9676,13.5741,0.9308,13.9657,0.8067,17.9049,0.8794,13.4973,0.5837,13.8678,1.2113,12.8520,1.2909,11.8400,0.8242,12.3648,0.9452,14.1231,0.8943
209,12.9700,0.8454,14.2475,0.9635,13.6108,0.9360,13.9832,0.8075,17.9068,0.8860,13.5083,0.5861,13.8749,1.2068,12.8499,1.2685,11.8653,0.8240,12.3932,0.9494,14.1510,0.9036
210,12.9932,0.8474,14.2623,0.9594,13.6475,0.9411,14.0007,0.8083,17.9088,0.8927,13.5193,0.5885,13.8819,1.2023,12.8478,1.2461,11.8905,0.8239,12.4216,0.9535,14.1788,0.9128
211,13.0165,0.8494,14.2770,0.9553,13.6843,0.9462,14.0182,0.8092,17.9107,0.8993,13.5304,0.5910,13.8889,1.1978,12.8457,1.2237,11.9158,0.8238,12.4500,0.9577,14.2067,0.9221
212,13.0397,0.8513,14.2918,0.9511,13.7210,0.9514,14.0357,0.8100,17.9127,0.9060,13.5414,0.5934,13.8960,1.1933,12.8436,1.2013,11.9410,0.8236,12.4784,0.9618,14.2346,0.9313
213,13.0630,0.8533,14.3066,0.9470,13.7578,0.9565,14.0532,0.8108,17.9147,0.9126,13.5524,0.5959,13.9030,1.1888,12.8415,1.1789,11.9663,0.8235,12.5068,0.9659,14.2624,0.9405
214,13.0863,0.8553,14.3214,0.9429,13.7945,0.9616,14.0707,0.8116,17.9166,0.9193,13.5634,0.5983,13.9101,1.1843,12.8394,1.1565,11.9915,0.8233,12.5352,0.9701,14.2903,0.9498
215,13.1095,0.8573,14.3362,0.9388,13.8313,0.9668,14.0882,0.8124,17.9186,0.9259,13.5744,0.6007,13.9171,1.1798,12.8373,1.1341,12.0168,0.8232,12.5636,0.9742,14.3182,0.9590
216,13.1328,0.8593,14.3510,0.9347,13.8680,0.9719,14.1057,0.8132,17.9205,0.9326,13.5854,0.6032,13.9241,1.1753,12.8352,1.1117,12.0421,0.8231,12.5920,0.9784,14.3460,0.9683
217,13.1560,0.8613,14.3658,0.9306,13.9047,0.9770,14.1232,0.8140,17.9225,0.9392,13.5965,0.6056,13.9312,1.1708,12.8330,1.0893,12.0673,0.8229,12.6204,0.9825,14.3739,0.9775
218,13.1793,0.8632,14.3806,0.9265,13.9415,0.9822,14.1407,0.8148,17.9244,0.9459,13.6075,0.6080,13.9382,1.1664,12.8309,1.0669,12.0926,0.8228,12.6488,0.9867,14.4018,0.9868
219,13.2025,0.8652,14.3954,0.9224,13.9782,0.9873,14.1582,0.8156,17.9264,0.9525,13.6185,0.6105,13.9452,1.1619,12.8288,1.0445,12.1178,0.8226,12.6772,0.9908,14.4297,0.9960
220,13.2258,0.8672,14.4101,0.9182,14.0150,0.9924,14.1757,0.8165,17.9284,0.9592,13.6295,0.6129,13.9523,1.1574,12.8267,1.0221,12.1431,0.8225,12.7056,0.9949,14.4575,1.0053
221,13.2490,0.8692,14.4249,0.9141,14.0517,0.9976,14.1932,0.8173,17.9303,0.9658,13.6405,0.6154,13.9593,1.1529,12.8246,0.9997,12.1683,0.8224,12.7340,0.9991,14.4854,1.0145
222,13.2723,0.8712,14.4397,0.9100,14.0885,1.0027,14.2107,0.8181,17.9323,0.9725,13.6515,0.6178,13.9663,1.1484,12.8225,0.9773,12.1936,0.8222,12.7624,1.0032,14.5133,1.0237
223,13.2956,0.8731,14.4545,0.9059,14.1252,1.0079,14.2282,0.8189,17.9342,0.9791,13.6626,0.6202,13.9734,1.1439,12.8204,0.9549,12.2188,0.8221,12.7908,1.0074,14.5411,1.0330
224,13.3188,0.8751,14.4693,0.9018,14.1619,1.0130,14.2457,0.8197,17.9362,0.9858,13.6736,0.6227,13.9804,1.1394,12.8183,0.9325,12.2441,0.8219,12.8192,1.0115,14.5690,1.0422
225,13.3421,0.8771,14.4841,0.8977,14.1987,1.0181,14.2632,0.8205,17.9382,0.9925,13.6846,0.6251,13.9874,1.1349,12.8162,0.9101,12.2694,0.8218,12.8476,1.0157,14.5969,1.0515
226,13.3653,0.8791,14.4989,0.8936,14.2354,1.0233,14.2807,0.8213,17.9401,0.9991,13.6956,0.6275,13.9945,1.1304,12.8141,0.8877,12.2946,0.8217,12.8760,1.0198,14.6247,1.0607
227,13.3886,0.8811,14.5137,0.8894,14.2722,1.0284,14.2983,0.8221,17.9421,1.0058,13.7066,0.6300,14.0015,1.1259,12.8120,0.8653,12.3199,0.8215,12.9044,1.0239,14.6526,1.0700
228,13.3437,0.8755,14.4504,0.8893,14.2618,1.0200,14.2596,0.8207,17.8583,0.9977,13.6681,0.6233,14.0044,1.1239,12.8196,0.8790,12.3184,0.8277,12.9157,1.0308,14.6608,1.0694
229,13.2989,0.8700,14.3872,0.8891,14.2514,1.0116,14.2210,0.8192,17.7745,0.9897,13.6297,0.6166,14.0073,1.1218,12.8273,0.8927,12.3170,0.8339,12.9269,1.0378,14.6690,1.0688
230,13.2541,0.8645,14.3240,0.8890,14.2411,1.0032,14.1824,0.8177,17.6907,0.9817,13.5912,0.6099,14.0102,1.1198,12.8349,0.9063,12.3155,0.8402,12.9382,1.0447,14.6772,1.0682
231,13.2092,0.8589,14.2607,0.8888,14.2307,0.9947,14.1437,0.8163,17.6068,0.9737,13.5527,0.6032,14.0131,1.1178,12.8425,0.9200,12.3141,0.8464,12.9494,1.0516,14.6855,1.0676
232,13.1644,0.8534,14.1975,0.8887,14.2203,0.9863,14.1051,0.8148,17.5230,0.9657,13.5142,0.5965,14.0160,1.1157,12.8501,0.9337,12.3126,0.8526,12.9606,1.0585,14.6937,1.0671
233,13.1195,0.8478,14.1343,0.8885,14.2100,0.9779,14.0665,0.8133,17.4392,0.9577,13.4758,0.5898,14.0189,1.1137,12.8577,0.9474,12.3112,0.8588,12.9719,1.0654,14.7019,1.0665
234,13.0747,0.8423,14.0710,0.8884,14.1996,0.9695,14.0278,0.8119,17.3554,0.9497,13.4373,0.5831,14.0218,1.1116,12.8653,0.9611,12.3097,0.8650,12.9831,1.0723,14.7101,1.0659
235,13.0298,0.8367,14.0078,0.8882,14.1892,0.9611,13.9892,0.8104,17.2716,0.9416,13.3988,0.5764,14.0247,1.1096,12.8730,0.9748,12.3083,0.8712,12.9944,1.0792,14.7183,1.0653
236,12.9850,0.8312,13.9446,0.8881,14.1789,0.9527,13.9506,0.8089,17.1878,0.9336,13.3603,0.5697,14.0276,1.1075,12.8806,0.9884,12.3068,0.8774,13.0056,1.0861,14.7265,1.0648
237,12.9402,0.8257,13.8813,0.8879,14.1685,0.9443,13.9120,0.8075,17.1040,0.9256,13.3219,0.5631,14.0305,1.1055,12.8882,1.0021,12.3054,0.8836,13.0169,1.0930,14.7348,1.0642
238,12.8953,0.8201,13.8181,0.8878,14.1581,0.9359,13.8733,0.8060,17.0202,0.9176,13.2834,0.5564,14.0334,1.1034,12.8958,1.0158,12.3039,0.8898,13.0281,1.0999,14.7430,1.0636
239,12.8505,0.8146,13.7548,0.8876,14.1478,0.9275,13.8347,0.8046,16.9364,0.9096,13.2449,0.5497,14.0363,1.1014,12.9034,1.0295,12.3025,0.8961,13.0393,1.1068,14.7512,1.0630
240,12.8056,0.8090,13.6916,0.8875,14.1374,0.9190,13.7961,0.8031,16.8526,0.9016,13.2064,0.5430,14.0392,1.0993,12.9111,1.0432,12.3010,0.9023,13.0506,1.1137,14.7594,1.0624
241,12.7608,0.8035,13.6284,0.8873,14.1271,0.9106,13.7574,0.8016,16.7688,0.8935,13.1680,0.5363,14.0421,1.0973,12.9187,1.0569,12.2996,0.9085,13.0618,1.1206,14.7676,1.0619
242,12.7160,0.7980,13.5651,0.8871,14.1167,0.9022,13.7188,0.8002,16.6849,0.8855,13.1295,0.5296,14.0450,1.0952,12.9263,1.0705,12.2981,0.9147,13.0731,1.1276,14.7758,1.0613
243,12.6711,0.7924,13.5019,0.8870,14.1063,0.8938,13.6802,0.7987,16.6011,0.8775,13.0910,0.5229,14.0479,1.0932,12.9339,1.0842,12.2967,0.9209,13.0843,1.1345,14.7841,1.0607
244,12.6263,0.7869,13.4387,0.8868,14.0960,0.8854,13.6416,0.7972,16.5173,0.8695,13.0525,0.5162,14.0508,1.0911,12.9415,1.0979,12.2953,0.9271,13.0956,1.1414,14.7923,1.0601
245,12.5814,0.7813,13.3754,0.8867,14.0856,0.8770,13.6029,0.7958,16.4335,0.8615,13.0140,0.5095,14.0537,1.0891,12.9492,1.1116,12.2938,0.9333,13.1068,1.1483,14.8005,1.0596
246,12.5366,0.7758,13.3122,0.8865,14.0752,0.8686,13.5643,0.7943,16.3497,0.8535,12.9756,0.5028,14.0566,1.0870,12.9568,1.1253,12.2924,0.9395,13.1180,1.1552,14.8087,1.0590
247,12.4918,0.7702,13.2490,0.8864,14.0649,0.8602,13.5257,0.7928,16.2659,0.8454,12.9371,0.4961,14.0595,1.0850,12.9644,1.1390,12.2909,0.9457,13.1293,1.1621,14.8169,1.0584
248,12.4469,0.7647,13.1857,0.8862,14.0545,0.8518,13.4870,0.7914,16.1821,0.8374,12.8986,0.4894,14.0624,1.0830,12.9720,1.1526,12.2895,0.9519,13.1405,1.1690,14.8251,1.0578
249,12.4021,0.7592,13.1225,0.8861,14.0441,0.8433,13.4484,0.7899,16.0983,0.8294,12.8601,0.4827,14.0653,1.0809,12.9796,1.1663,12.2880,0.9582,13.1518,1.1759,14.8333,1.0572
250,12.3572,0.7536,13.0593,0.8859,14.0338,0.8349,13.4098,0.7884,16.0145,0.8214,12.8217,0.4761,14.0682,1.0789,12.9873,1.1800,12.2866,0.9644,13.1630,1.1828,14.8416,1.0567
251,12.3124,0.7481,12.9960,0.8858,14.0234,0.8265,13.3712,0.7870,15.9307,0.8134,12.7832,0.4694,14.0711,1.0768,12.9949,1.1937,12.2851,0.9706,13.1743,1.1897,14.8498,1.0561
252,12.2676,0.7425,12.9328,0.8856,14.0130,0.8181,13.3325,0.7855,15.8469,0.8054,12.7447,0.4627,14.0740,1.0748,13.0025,1.2074,12.2837,0.9768,13.1855,1.1966,14.8580,1.0555
253,12.2227,0.7370,12.8696,0.8855,14.0027,0.8097,13.2939,0.7840,15.7630,0.7973,12.7062,0.4560,14.0769,1.0727,13.0101,1.2211,12.2822,0.9830,13.1968,1.2035,14.8662,1.0549
254,12.1779,0.7315,12.8063,0.8853,13.9923,0.8013,13.2553,0.7826,15.6792,0.7893,12.6678,0.4493,14.0798,1.0707,13.0177,1.2347,12.2808,0.9892,13.2080,1.2104,14.8744,1.0544
255,12.1330,0.7259,12.7431,0.8852,13.9819,0.7929,13.2166,0.7811,15.5954,0.7813,12.6293,0.4426,14.0827,1.0686,13.0254,1.2484,12.2793,0.9954,13.2192,1.2174,14.8826,1.0538
256,12.0882,0.7204,12.6798,0.8850,13.9716,0.7845,13.1780,0.7796,15.5116,0.7733,12.5908,0.4359,14.0856,1.0666,13.0330,1.2621,12.2779,1.0016,13.2305,1.2243,14.8909,1.0532
257,12.0434,0.7148,12.6166,0.8848,13.9612,0.7760,13.1394,0.7782,15.4278,0.7653,12.5523,0.4292,14.0885,1.0645,13.0406,1.2758,12.2764,1.0078,13.2417,1.2312,14.8991,1.0526
258,11.9985,0.7093,12.5534,0.8847,13.9508,0.7676,13.1007,0.7767,15.3440,0.7573,12.5138,0.4225,14.0914,1.0625,13.0482,1.2895,12.2750,1.0141,13.2530,1.2381,14.9073,1.0520
259,11.9329,0.7074,12.4734,0.8740,13.8873,0.7686,13.0356,0.7729,15.2245,0.7512,12.4522,0.4208,14.0517,1.0570,13.0338,1.2841,12.2678,1.0172,13.2474,1.2369,14.8935,1.0537
260,11.8672,0.7055,12.3935,0.8633,13.8238,0.7696,12.9704,0.7691,15.1051,0.7452,12.3905,0.4192,14.0120,1.0516,13.0193,1.2787,12.2607,1.0204,13.2417,1.2356,14.8798,1.0553
261,11.8015,0.7036,12.3135,0.8526,13.7603,0.7706,12.9053,0.7653,14.9856,0.7391,12.3288,0.4175,13.9723,1.0461,13.0048,1.2732,12.2535,1.0236,13.2361,1.2344,14.8660,1.0569
262,11.7359,0.7018,12.2336,0.8419,13.6967,0.7715,12.8401,0.7615,14.8661,0.7331,12.2671,0.4158,13.9326,1.0407,12.9904,1.2678,12.2463,1.0268,13.2305,1.2332,14.8523,1.0586
263,11.6702,0.6999,12.1536,0.8312,13.6332,0.7725,12.7749,0.7577,14.7466,0.7270,12.2055,0.4142,13.8928,1.0352,12.9759,1.2624,12.2392,1.0300,13.2249,1.2320,14.8385,1.0602
264,11.6046,0.6980,12.0737,0.8206,13.5697,0.7735,12.7098,0.7539,14.6272,0.7210,12.1438,0.4125,13.8531,1.0297,12.9615,1.2570,12.2320,1.0332,13.2193,1.2307,14.8248,1.0619
265,11.5389,0.6961,11.9937,0.8099,13.5061,0.7744,12.6446,0.7501,14.5077,0.7149,12.0821,0.4108,13.8134,1.0243,12.9470,1.2516,12.2249,1.0364,13.2137,1.2295,14.8110,1.0635
266,11.4732,0.6942,11.9138,0.7992,13.4426,0.7754,12.5795,0.7463,14.3882,0.7089,12.0204,0.4092,13.7737,1.0188,12.9326,1.2462,12.2177,1.0395,13.2080,1.2283,14.7973,1.0651
267,11.4076,0.6924,11.8338,0.7885,13.3791,0.7764,12.5143,0.7425,14.2688,0.7028,11.9588,0.4075,13.7340,1.0134,12.9181,1.2408,12.2105,1.0427,13.2024,1.2271,14.7835,1.0668
268,11.3419,0.6905,11.7539,0.7778,13.3155,0.7774,12.4491,0.7387,14.1493,0.6968,11.8971,0.4058,13.6943,1.0079,12.9036,1.2353,12.2034,1.0459,13.1968,1.2258,14.7698,1.0684
269,11.2763,0.6886,11.6740,0.7671,13.2520,0.7783,12.3840,0.7349,14.0298,0.6907,11.8354,0.4041,13.6546,1.0025,12.8892,1.2299,12.1962,1.0491,13.1912,1.2246,14.7560,1.0700
270,11.2106,0.6867,11.5940,0.7564,13.1885,0.7793,12.3188,0.7311,13.9103,0.6847,11.7737,0.4025,13.6148,0.9970,12.8747,1.2245,12.1890,1.0523,13.1856,1.2234,14.7423,1.0717
271,11.1449,0.6848,11.5141,0.7457,13.1249,0.7803,12.2537,0.7273,13.7909,0.6786,11.7121,0.4008,13.5751,0.9916,12.8603,1.2191,12.1819,1.0555,13.1800,1.2222,14.7285,1.0733
272,11.0793,0.6829,11.4341,0.7350,13.0614,0.7813,12.1885,0.7235,13.6714,0.6726,11.6504,0.3991,13.5354,0.9861,12.8458,1.2137,12.1747,1.0587,13.1743,1.2210,14.7148,1.0750
273,11.0136,0.6811,11.3542,0.7243,12.9979,0.7822,12.1233,0.7197,13.5519,0.6665,11.5887,0.3975,13.4957,0.9806,12.8314,1.2083,12.1676,1.0618,13.1687,1.2197,14.7010,1.0766
274,10.9480,0.6792,11.2742,0.7136,12.9343,0.7832,12.0582,0.7159,13.4325,0.6605,11.5270,0.3958,13.4560,0.9752,12.8169,1.2029,12.1604,1.0650,13.1631,1.2185,14.6873,1.0782
275,10.8823,0.6773,11.1943,0.7030,12.8708,0.7842,11.9930,0.7121,13.3130,0.6545,11.4654,0.3941,13.4163,0.9697,12.8024,1.1974,12.1532,1.0682,13.1575,1.2173,14.6735,1.0799
276,10.8166,0.6754,11.1143,0.6923,12.8073,0.7851,11.9279,0.7083,13.1935,0.6484,11.4037,0.3925,13.3766,0.9643,12.7880,1.1920,12.1461,1.0714,13.1519,1.2161,14.6598,1.0815
277,10.7510,0.6735,11.0344,0.6816,12.7437,0.7861,11.8627,0.7045,13.0740,0.6424,11.3420,0.3908,13.3369,0.9588,12.7735,1.1866,12.1389,1.0746,13.1463,1.2148,14.6460,1.0831
278,10.6853,0.6716,10.9544,0.6709,12.6802,0.7871,11.7975,0.7007,12.9546,0.6363,11.2803,0.3891,13.2971,0.9534,12.7591,1.1812,12.1318,1.0778,13.1406,1.2136,14.6323,1.0848
279,10.6197,0.6698,10.8745,0.6602,12.6167,0.7881,11.7324,0.6969,12.8351,0.6303,11.2187,0.3874,13.2574,0.9479,12.7446,1.1758,12.1246,1.0810,13.1350,1.2124,14.6185,1.0864
280,10.5540,0.6679,10.7945,0.6495,12.5531,0.7890,11.6672,0.6931,12.7156,0.6242,11.1570,0.3858,13.2177,0.9425,12.7302,1.1704,12.1174,1.0842,13.1294,1.2112,14.6048,1.0880
281,10.4884,0.6660,10.7146,0.6388,12.4896,0.7900,11.6021,0.6893,12.5962,0.6182,11.0953,0.3841,13.1780,0.9370,12.7157,1.1650,12.1103,1.0873,13.1238,1.2100,14.5910,1.0897
282,10.4227,0.6641,10.6346,0.6281,12.4261,0.7910,11.5369,0.6855,12.4767,0.6121,11.0336,0.3824,13.1383,0.9316,12.7012,1.1595,12.1031,1.0905,13.1182,1.2087,14.5773,1.0913
283,10.3570,0.6622,10.5547,0.6174,12.3625,0.7919,11.4717,0.6817,12.3572,0.6061,10.9720,0.3808,13.0986,0.9261,12.6868,1.1541,12.0959,1.0937,13.1126,1.2075,14.5635,1.0930
284,10.2914,0.6603,10.4747,0.6067,12.2990,0.7929,11.4066,0.6779,12.2377,0.6000,10.9103,0.3791,13.0589,0.9206,12.6723,1.1487,12.0888,1.0969,13.1070,1.2063,14.5498,1.0946
285,10.2257,0.6585,10.3948,0.5961,12.2355,0.7939,11.3414,0.6741,12.1183,0.5940,10.8486,0.3774,13.0192,0.9152,12.6579,1.1433,12.0816,1.1001,13.1013,1.2051,14.5360,1.0962
286,10.1601,0.6566,10.3148,0.5854,12.1719,0.7949,11.2762,0.6703,11.9988,0.5879,10.7869,0.3758,12.9794,0.9097,12.6434,1.1379,12.0745,1.1033,13.0957,1.2038,14.5223,1.0979
287,10.0944,0.6547,10.2349,0.5747,12.1084,0.7958,11.2111,0.6665,11.8793,0.5819,10.7253,0.3741,12.9397,0.9043,12.6290,1.1325,12.0673,1.1065,13.0901,1.2026,14.5085,1.0995
288,10.0287,0.6528,10.1549,0.5640,12.0449,0.7968,11.1459,0.6627,11.7599,0.5758,10.6636,0.3724,12.9000,0.8988,12.6145,1.1271,12.0601,1.1096,13.0845,1.2014,14.4948,1.1011
289,9.9711,0.6567,10.0931,0.5639,11.9754,0.7933,11.0928,0.6647,11.6732,0.5707,10.6190,0.3736,12.8451,0.8939,12.5863,1.1186,12.0581,1.1114,13.0748,1.1954,14.4712,1.0943
290,9.9134,0.6607,10.0312,0.5638,11.9059,0.7897,11.0397,0.6666,11.5864,0.5657,10.5744,0.3748,12.7902,0.8890,12.5582,1.1101,12.0560,1.1133,13.0651,1.1893,14.4476,1.0874
291,9.8557,0.6646,9.9693,0.5636,11.8364,0.7861,10.9867,0.6686,11.4997,0.5606,10.5298,0.3760,12.7353,0.8840,12.5300,1.1016,12.0539,1.1151,13.0555,1.1833,14.4241,1.0806
292,9.7981,0.6685,9.9075,0.5635,11.7669,0.7826,10.9336,0.6705,11.4130,0.5555,10.4852,0.3771,12.6804,0.8791,12.5019,1.0931,12.0518,1.1169,13.0458,1.1773,14.4005,1.0737
293,9.7404,0.6724,9.8456,0.5634,11.6974,0.7790,10.8805,0.6725,11.3263,0.5504,10.4406,0.3783,12.6255,0.8742,12.4737,1.0846,12.0498,1.1187,13.0361,1.1712,14.3769,1.0669
294,9.6827,0.6763,9.7837,0.5633,11.6279,0.7755,10.8274,0.6744,11.2396,0.5453,10.3960,0.3795,12.5706,0.8693,12.4455,1.0762,12.0477,1.1205,13.0264,1.1652,14.3533,1.0600
295,9.6251,0.6803,9.7218,0.5632,11.5584,0.7719,10.7743,0.6764,11.1529,0.5402,10.3514,0.3807,12.5157,0.8643,12.4174,1.0677,12.0456,1.1223,13.0168,1.1592,14.3298,1.0532
296,9.5674,0.6842,9.6600,0.5631,11.4889,0.7683,10.7212,0.6783,11.0662,0.5352,10.3068,0.3819,12.4608,0.8594,12.3892,1.0592,12.0436,1.1241,13.0071,1.1531,14.3062,1.0463
297,9.5097,0.6881,9.5981,0.5630,11.4194,0.7648,10.6681,0.6803,10.9795,0.5301,10.2622,0.3830,12.4059,0.8545,12.3610,1.0507,12.0415,1.1259,12.9974,1.1471,14.2826,1.0395
298,9.4521,0.6920,9.5362,0.5629,11.3499,0.7612,10.6150,0.6822,10.8928,0.5250,10.2176,0.3842,12.3510,0.8496,12.3329,1.0422,12.0394,1.1277,12.9877,1.1411,14.2590,1.0326
299,9.3944,0.6960,9.4744,0.5628,11.2804,0.7577,10.5619,0.6842,10.8060,0.5199,10.1730,0.3854,12.2961,0.8447,12.3047,1.0337,12.0373,1.1295,12.9780,1.1350,14.2355,1.0258
300,9.3367,0.6999,9.4125,0.5626,11.2110,0.7541,10.5088,0.6861,10.7193,0.5148,10.1284,0.3866,12.2412,0.8397,12.2765,1.0252,12.0353,1.1313,12.9684,1.1290,14.2119,1.0189
301,9.2791,0.7038,9.3506,0.5625,11.1415,0.7506,10.4557,0.6881,10.6326,0.5098,10.0838,0.3878,12.1863,0.8348,12.2484,1.0168,12.0332,1.1331,12.9587,1.1230,14.1883,1.0120
302,9.2214,0.7077,9.2888,0.5624,11.0720,0.7470,10.4026,0.6900,10.5459,0.5047,10.0392,0.3890,12.1314,0.8299,12.2202,1.0083,12.0311,1.1349,12.9490,1.1169,14.1647,1.0052
303,9.1637,0.7116,9.2269,0.5623,11.0025,0.7434,10.3496,0.6920,10.4592,0.4996,9.9946,0.3901,12.0765,0.8250,12.1921,0.9998,12.0290,1.1367,12.9393,1.1109,14.1412,0.9983
304,9.1061,0.7156,9.1650,0.5622,10.9330,0.7399,10.2965,0.6939,10.3725,0.4945,9.9500,0.3913,12.0216,0.8200,12.1639,0.9913,12.0270,1.1385,12.9297,1.1049,14.1176,0.9915
305,9.0484,0.7195,9.1031,0.5621,10.8635,0.7363,10.2434,0.6959,10.2858,0.4894,9.9054,0.3925,11.9667,0.8151,12.1357,0.9828,12.0249,1.1403,12.9200,1.0988,14.0940,0.9846
306,8.9907,0.7234,9.0413,0.5620,10.7940,0.7328,10.1903,0.6978,10.1991,0.4843,9.8608,0.3937,11.9118,0.8102,12.1076,0.9743,12.0228,1.1421,12.9103,1.0928,14.0705,0.9778
307,8.9331,0.7273,8.9794,0.5619,10.7245,0.7292,10.1372,0.6997,10.1124,0.4793,9.8162,0.3949,11.8569,0.8053,12.0794,0.9659,12.0208,1.1439,12.9006,1.0868,14.0469,0.9709
308,8.8754,0.7313,8.9175,0.5617,10.6550,0.7256,10.0841,0.7017,10.0256,0.4742,9.7716,0.3960,11.8020,0.8003,12.0512,0.9574,12.0187,1.1457,12.8910,1.0807,14.0233,0.9641
309,8.8177,0.7352,8.8557,0.5616,10.5855,0.7221,10.0310,0.7036,9.9389,0.4691,9.7270,0.3972,11.7471,0.7954,12.0231,0.9489,12.0166,1.1475,12.8813,1.0747,13.9997,0.9572
310,8.7601,0.7391,8.7938,0.5615,10.5160,0.7185,9.9779,0.7056,9.8522,0.4640,9.6824,0.3984,11.6922,0.7905,11.9949,0.9404,12.0145,1.1493,12.8716,1.0687,13.9762,0.9504
311,8.7024,0.7430,8.7319,0.5614,10.4465,0.7150,9.9248,0.7075,9.7655,0.4589,9.6378,0.3996,11.6373,0.7856,11.9668,0.9319,12.0125,1.1511,12.8619,1.0627,13.9526,0.9435
312,8.6447,0.7469,8.6700,0.5613,10.3770,0.7114,9.8717,0.7095,9.6788,0.4538,9.5932,0.4008,11.5824,0.7806,11.9386,0.9234,12.0104,1.1529,12.8523,1.0566,13.9290,0.9367
313,8.5871,0.7509,8.6082,0.5612,10.3075,0.7079,9.8186,0.7114,9.5921,0.4488,9.5486,0.4020,11.5275,0.7757,11.9104,0.9149,12.0083,1.1547,12.8426,1.0506,13.9054,0.9298
314,8.5294,0.7548,8.5463,0.5611,10.2380,0.7043,9.7655,0.7134,9.5054,0.4437,9.5040,0.4031,11.4726,0.7708,11.8823,0.9065,12.0063,1.1565,12.8329,1.0446,13.8819,0.9230
315,8.4717,0.7587,8.4844,0.5610,10.1685,0.7007,9.7125,0.7153,9.4187,0.4386,9.4594,0.4043,11.4177,0.7659,11.8541,0.8980,12.0042,1.1583,12.8232,1.0385,13.8583,0.9161
