name,lat,lon,region,tortuosity_ratio,horizon_exposure,enclosedness_rays,enclosedness_combined,flushing_rate
AK-AL-004,53.93668778432749,-166.55273437500003,AK-AL,1.1947468758941902,0.2222222222222222,0.7777777777777778,0.43757560786243643,0.46306678194592393
AK-AL-012,51.88,-176.658,AK-AL,1.1406311727398823,0.0,1.0,0.5351577931849706,0.38792849924757267
AK-AL-015,51.6521108615692,-177.7587890625,AK-AL,1.1474542841915112,0.4444444444444444,0.5555555555555556,0.3146413488256556,0.5577261614042451
AK-AL-013,51.817,-177.98,AK-AL,1.2150130958290997,0.0,1.0,0.5537532739572749,0.37360997905289833
AK-AL-010,52.1874047455997,-174.012451171875,AK-AL,1.0807372251497098,0.2777777777777778,0.7222222222222222,0.38129541739853856,0.5064025286031253
AK-AL-007,53.199451902831555,-168.05786132812503,AK-AL,1.0842076712585982,0.4861111111111111,0.5138888888888888,0.27799636225909397,0.5859428010604977
AK-AL-009,52.20760667286523,-172.38647460937503,AK-AL,1.073722991722143,0.7222222222222222,0.2777777777777778,0.15731963681942462,0.678863879649043
AK-WG-078,54.3549556895541,-162.68554687500003,AK-WG,1.1154736197460766,0.5833333333333334,0.41666666666666663,0.23720173826985247,0.6173546615322136
AK-WG-073,54.983918190363234,-159.93896484375,AK-WG,1.1335701514983136,0.3888888888888889,0.6111111111111112,0.338948093430134,0.5390099680587968
AK-AL-003,54.03681240523652,-165.82763671875003,AK-AL,1.0776531137023204,0.4027777777777778,0.5972222222222222,0.3180243895366912,0.5551212200567478
AK-AL-014,51.7,-178.8,AK-AL,1.0670914237617979,0.625,0.375,0.20427285594044947,0.642709900925854
AK-WG-076,54.77534585936449,-163.27880859375003,AK-WG,1.1299201597149324,0.027777777777777776,0.9722222222222222,0.5185911510398442,0.40068481369931996
AK-WG-071,55.26659815231191,-160.13671875000003,AK-WG,1.1349335964321996,0.20833333333333334,0.7916666666666666,0.4295667324413832,0.46923361602013497
AK-WG-070,55.35,-160.45,AK-WG,1.1678966302737102,0.013888888888888888,0.9861111111111112,0.5350297131239832,0.388027120894533
AK-WG-077,54.46684525346424,-162.59216308593753,AK-WG,1.1181011883879226,0.4583333333333333,0.5416666666666667,0.300358630430314,0.5687238545686581
AK-AL-011,52.0,-176.2,AK-AL,1.1002100398120844,0.2916666666666667,0.7083333333333333,0.37921917661968774,0.5080012340028405
AK-PWS-031,60.374502414365104,-147.88970947265628,AK-PWS,1.438201176567511,0.06944444444444445,0.9305555555555556,0.5748280719196555,0.3573823846218653
AK-PWS-041,60.090871552737134,-147.25799560546878,AK-PWS,1.7725079805639457,0.3888888888888889,0.6111111111111112,0.498682550696542,0.4160144359636627
AK-PWS-022,60.609,-147.1675,AK-PWS,1.1866544861941224,0.16666666666666666,0.8333333333333334,0.4633302882151973,0.4432356780742981
AK-PWS-002,61.11405946265586,-146.33239746093753,AK-PWS,1.6258907719248943,0.0,1.0,0.6564726929812236,0.29451602640445784
AK-PWS-025,60.54377524118842,-145.81604003906253,AK-PWS,1.5455311459233525,0.0,1.0,0.6363827864808381,0.30998525440975466
AK-PWS-034,60.33238607249709,-146.59057617187503,AK-PWS,1.5628632139278114,0.0,1.0,0.6407158034819529,0.30664883131889625
AK-EG-008,59.85585085709834,-144.33837890625003,AK-EG,1.1613905032050609,0.5277777777777778,0.4722222222222222,0.2764587369123763,0.5871267725774703
AK-EG-017,59.4,-146.3,AK-EG,1.1488717474843315,0.8194444444444444,0.18055555555555558,0.12749571464886067,0.7018282997203774
AK-OC-001,59.7257,-139.8365,AK-OC,1.2623708218597973,0.2222222222222222,0.7777777777777778,0.4544815943538382,0.45004917234754455
AK-EG-014,59.6954703349364,-140.87768554687503,AK-EG,1.1436996834875603,0.5972222222222222,0.4027777777777778,0.23731380976077898,0.6172683664842002
AK-PWS-007,61.0,-146.8,AK-PWS,1.4250284690261612,0.08333333333333333,0.9166666666666666,0.5645904505898736,0.3652653530457974
AK-PWS-013,60.8,-146.7,AK-PWS,1.3957811181005386,0.20833333333333334,0.7916666666666666,0.49477861285846797,0.4190204680989797
AK-PWS-030,60.40978387276017,-145.53314208984378,AK-PWS,1.5100517994207816,0.18055555555555555,0.8194444444444444,0.5372351720774176,0.3863289175003885
AK-EG-003,60.06484046010452,-144.20654296875003,AK-EG,1.2055778938515123,0.125,0.875,0.48889447346287807,0.42355125543358396
AK-PWS-032,60.37042901631508,-147.20031738281253,AK-PWS,1.2748406888019157,0.3055555555555556,0.6944444444444444,0.41593239442270113,0.47973205629452015
AK-PWS-018,60.7,-147.0,AK-PWS,1.2190920799684934,0.20833333333333334,0.7916666666666666,0.4506063533254567,0.4530331079393984
AK-PWS-023,60.6,-147.9,AK-PWS,1.194226519027276,0.1527777777777778,0.8472222222222222,0.4721677408679301,0.4364308395316938
AK-PWS-011,60.84758659536134,-147.32940673828128,AK-PWS,1.239604530222104,0.2361111111111111,0.7638888888888888,0.4418455769999704,0.4597789057100228
AK-PWS-008,60.9,-146.8,AK-PWS,1.4186401671698834,0.0,1.0,0.6046600417924708,0.33441176781979753
AK-PWS-009,60.88636373891397,-146.72241210937503,AK-PWS,1.4124102236985527,0.041666666666666664,0.9583333333333334,0.5822692225913049,0.3516526986046953
AK-PWS-039,60.118250509394436,-148.04626464843753,AK-PWS,1.5127475252044633,0.041666666666666664,0.9583333333333334,0.6073535479677825,0.33233776806480747
AK-FN-038,57.0531,-135.33,AK-FN,2.186488778195743,0.18055555555555555,0.8194444444444444,0.706344416771158,0.2561147990862084
AK-FN-040,57.038,-135.291,AK-FN,2.242565856564165,0.1527777777777778,0.8472222222222222,0.7342525752521523,0.23462551705584278
AK-OC-016,56.8542,-135.3889,AK-OC,1.779331052376559,0.3888888888888889,0.6111111111111112,0.5003883186496954,0.4147009946397346
AK-FN-008,58.3815,-134.6417,AK-FN,1.5369506890499085,0.0,1.0,0.6342376722624772,0.3116369923578926
AK-FN-010,58.3521,-134.9234,AK-FN,1.5902433573334827,0.0,1.0,0.6475608393333707,0.30137815371330456
